label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,enum_limit_reached,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size, max query size,done checks,spared checks,paths,conditions,forks,unresolved_fork,resolved_forks,discarded,min_transient_dj,dba_instructions,x86instructions,addresses,merged,refused,aborted,wall time,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt,transient_paths_pht,transient_paths_stl,pht_status,pht_dynamic,stl_status,max_spec_depth,violations,max_depth_reached,max_paths_reached,syscalls,solver_timeout_reached,enum_limit_reached,timeout_reached,interrupted,out_of_memory,exit_code
tea_encrypt_O0_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,1129,40,39,39,39,0,0,0,8087,1802,84,0,0,0,0.173358,0,0,inf,relational,1,row-map,boolector,0,40,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O1_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,0,0,4784,836,59,0,0,0,0.111138,0,0,inf,relational,1,row-map,boolector,0,32,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O2_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,0,0,4801,838,61,0,0,0,0.109021,0,0,inf,relational,1,row-map,boolector,0,32,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O3_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,0,0,4801,838,61,0,0,0,0.109368,0,0,inf,relational,1,row-map,boolector,0,32,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_Of_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,0,0,4801,838,61,0,0,0,0.112832,0,0,inf,relational,1,row-map,boolector,0,32,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O0_main,1,1,1,8858,5314,0,14172,36.569092,1,0,0,1,0.338598,1,0,0,1,0.184871,2,0,0,2,0.523469,0,0,0,0,0,8860,5314,0,14174,37.092561,8931.454353,8959,2994,4773551,4580837,8856,8856,0,0,7084,0,108382690,15892084,84,0,0,0,3600.003363,0,0,inf,relational,1,row-map,boolector,0,4580837,4579237,NoPHT,Static,ExplicitSTL,200,2,0,0,0,0,0,1,0,0,Insecure
tea_encrypt_O1_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,3328449,1637784,1690619,1690619,0,0,1690619,0,155642939,26046167,47,0,0,0,3600.007123,0,0,inf,relational,1,row-map,boolector,0,1637784,1637832,NoPHT,Static,ExplicitSTL,200,0,0,0,0,0,0,1,0,0,Unknown
tea_encrypt_O2_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,4127445,2030942,2096459,2096459,0,0,2096459,0,157627849,28433290,49,0,0,0,3600.003065,0,0,inf,relational,1,row-map,boolector,0,2030942,2031024,NoPHT,Static,ExplicitSTL,200,0,0,0,0,0,0,1,0,0,Unknown
tea_encrypt_O3_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,4233687,2083217,2150421,2150421,0,0,2150421,0,161685191,29165162,49,0,0,0,3600.003136,0,0,inf,relational,1,row-map,boolector,0,2083217,2083304,NoPHT,Static,ExplicitSTL,200,0,0,0,0,0,0,1,0,0,Unknown
tea_encrypt_Of_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,4159314,2046623,2112645,2112645,0,0,2112645,0,158844904,28652824,49,0,0,0,3600.00328,0,0,inf,relational,1,row-map,boolector,0,2046623,2046707,NoPHT,Static,ExplicitSTL,200,0,0,0,0,0,0,1,0,0,Unknown
tea_encrypt_O0_main,1,1,1,53,27,0,80,0.646513,2,0,0,2,2.166504,1,5,0,6,1.265314,3,5,0,8,3.431818,0,0,0,0,0,56,32,0,88,4.078331,33728.965909,69355,20,945,14,40,40,0,0,27,0,6586,1364,84,0,0,0,7.994582,0,0,inf,relational,1,row-map,boolector,0,14,0,NoPHT,Static,HauntedIteSTL,200,2,0,0,0,0,0,0,0,0,Insecure
tea_encrypt_O1_main,1,1,1,0,0,0,0,0,1,1,0,2,1457.087949,6,1,0,7,0.394787,7,2,0,9,1457.482736,0,0,0,0,0,7,2,0,9,1457.482736,18924.666667,54859,9,226,1,32,32,0,0,32,0,4720,804,59,0,0,0,1457.835303,0,0,inf,relational,1,row-map,boolector,0,1,0,NoPHT,Static,HauntedIteSTL,200,6,0,0,0,0,0,0,0,0,Insecure
tea_encrypt_O2_main,1,1,1,0,0,0,0,0,1,1,0,2,1241.547205,6,1,0,7,0.55452,7,2,0,9,1242.101725,0,0,0,0,0,7,2,0,9,1242.101725,18945,54874,9,226,1,32,32,0,0,32,0,4737,806,61,0,0,0,1242.463653,0,0,inf,relational,1,row-map,boolector,0,1,0,NoPHT,Static,HauntedIteSTL,200,6,0,0,0,0,0,0,0,0,Insecure
tea_encrypt_O3_main,1,1,1,0,0,0,0,0,1,1,0,2,1290.695491,6,1,0,7,0.550113,7,2,0,9,1291.245604,0,0,0,0,0,7,2,0,9,1291.245604,18945,54874,9,226,1,32,32,0,0,32,0,4737,806,61,0,0,0,1291.613431,0,0,inf,relational,1,row-map,boolector,0,1,0,NoPHT,Static,HauntedIteSTL,200,6,0,0,0,0,0,0,0,0,Insecure
tea_encrypt_Of_main,1,1,1,0,0,0,0,0,1,1,0,2,1274.854005,6,1,0,7,0.53457,7,2,0,9,1275.388575,0,0,0,0,0,7,2,0,9,1275.388575,18945,54874,9,226,1,32,32,0,0,32,0,4737,806,61,0,0,0,1275.741133,0,0,inf,relational,1,row-map,boolector,0,1,0,NoPHT,Static,HauntedIteSTL,200,6,0,0,0,0,0,0,0,0,Insecure
